date,SMB,HML,RMW,CMA,RF
200001,4.42,-1.88,-6.29,4.72,0.41
200002,18.28,-9.59,-18.65,-0.48,0.43
200003,-15.32,8.13,11.79,-1.59,0.47
200004,-5.01,7.26,7.66,5.65,0.46
200005,-3.81,4.75,4.13,1.37,0.5
200006,9.92,-8.42,-8.31,-2.95,0.4
200007,-1.03,8.31,5.83,2.94,0.48
200008,-1.03,-1.39,-3.22,1.1,0.5
200009,0.19,7.17,2.56,5.53,0.51
200010,-2.65,5.71,9.61,3.8,0.56
200011,-0.58,12.3,13.07,8.43,0.51
200012,3.26,7.61,1.71,4.79,0.5
200101,5.48,-5.07,-4.69,-5.03,0.54
200102,2.83,12.47,9.1,9.07,0.38
200103,2.33,6.42,3.35,3.92,0.42
200104,-0.86,-4.67,-3.06,-3.2,0.39
200105,3.6,3.36,0.25,1.91,0.32
200106,6.57,-1.12,1.6,-1.51,0.28
200107,-2.82,5.21,7.42,3.06,0.3
200108,2.72,2.31,4.05,6.56,0.31
200109,-5.73,1.45,4.99,3.22,0.28
200110,5.27,-7.65,-2.98,-4.56,0.22
200111,-0.3,2.21,-3.73,-1.64,0.17
200112,5.16,0.84,0.34,-0.26,0.15
200201,1.26,3.44,4.69,2.86,0.14
200202,-0.36,2.16,8.07,5.11,0.13
200203,4.25,1.06,-1.78,0.59,0.13
200204,6.72,3.88,4.56,5.37,0.15
200205,-3.01,1.53,2.36,2.44,0.14
200206,3.89,-0.05,3.93,2.52,0.13
200207,-6.43,-3.85,3.79,-0.99,0.15
200208,-1.31,3.28,1.36,-1.46,0.14
200209,3.08,1.45,3.28,-2.2,0.14
200210,-4.31,-3.94,-3.39,0.77,0.14
200211,2.93,-1.26,-9.22,5.12,0.12
200212,0.61,2.14,6.3,-1.68,0.11
200301,0.69,-0.81,-0.97,0.7,0.1
200302,-0.94,-1.37,0.84,-0.61,0.09
200303,0.66,-1.94,1.86,-0.78,0.1
200304,1.01,1.15,-4.67,1.07,0.1
200305,4.82,0.39,-7.01,2.9,0.09
200306,1.66,0.11,0.5,-0.39,0.1
200307,4.54,-1.24,-4.14,1.78,0.07
200308,2.48,1.53,-2.25,2.14,0.07
200309,0.54,0.17,1.01,0.35,0.08
200310,2.71,1.97,-1.35,1.55,0.07
200311,2.33,1.78,0.19,1.81,0.07
200312,-2.49,1.6,0.56,0.94,0.08
200401,2.45,2.49,-3.66,3.38,0.07
200402,-0.92,0.88,2.16,-1.23,0.06
200403,2.1,0.27,1.56,-0.98,0.09
200404,-2.02,-3.07,3.47,-2.81,0.08
200405,-0.38,-0.25,-1.18,0.03,0.06
200406,2.56,1.18,1.2,-0.39,0.08
200407,-2.96,3.24,5.32,-1.66,0.1
200408,-1.14,0.97,1.23,-1.47,0.11
200409,3.27,0,-1.49,-1.88,0.11
200410,0.19,-0.22,-0.52,0.49,0.11
200411,4.11,1.41,-0.58,-0.22,0.15
200412,-0.05,-0.22,-1.16,0.46,0.16
200501,-1.17,2.06,2.74,-1.46,0.16
200502,-0.31,1.54,1.43,-0.05,0.16
200503,-1.42,2.04,0.46,1.29,0.21
200504,-3.98,0.07,0.97,-0.94,0.21
200505,2.78,-0.64,-1,0.3,0.24
200506,3.28,2.83,0.96,-0.51,0.23
200507,2.81,-0.79,-1.18,-0.82,0.24
200508,-0.89,1.32,-2.05,0.37,0.3
200509,-0.34,0.71,0.27,-0.6,0.29
200510,-1.45,0.42,-0.93,-1.29,0.27
200511,0.84,-1.16,-0.76,-1.13,0.31
200512,-0.2,0.2,0.22,0.23,0.32
200601,5.75,1.08,-0.65,-0.45,0.35
200602,-0.42,-0.34,-0.51,1.91,0.34
200603,3.39,0.6,0.06,-0.4,0.37
200604,-0.84,2.34,1.8,0.01,0.36
200605,-2.85,2.41,1.15,1.46,0.43
200606,-0.24,0.85,1.32,-0.07,0.4
200607,-3.63,2.6,1.63,0.9,0.4
200608,0.44,-2.06,-1.86,2.09,0.42
200609,-1.46,0.08,0.82,0.6,0.41
200610,1.98,-0.31,-0.12,0.28,0.41
200611,0.71,0.14,0.15,-0.8,0.42
200612,-0.82,2.73,-0.72,2.06,0.4
200701,0.07,-0.68,0.26,0.38,0.44
200702,1.29,-0.14,-0.51,-0.71,0.38
200703,0.2,-0.97,0.64,-0.65,0.43
200704,-2.04,-1.45,1.15,1.03,0.44
200705,0.4,-0.65,1.58,-1.37,0.41
200706,0.74,-1.05,0.53,0.08,0.4
200707,-2.99,-3.71,0.2,-1.13,0.4
200708,-0.38,-1.86,-1.21,-0.54,0.42
200709,-2.44,-2.21,-0.52,-3.02,0.32
200710,-0.08,-2.98,-0.29,-0.09,0.32
200711,-3.02,-0.94,1.89,-0.29,0.34
200712,0.15,-0.55,0.87,-1.05,0.27
